"Filename",FingerCode,QualityScore,"OptionalError",Quantized,Resampled
"Livescan_500/Natural/Indoor/27_i_1_n_4.png",0,40,NA,0,0
"Livescan_500/Natural/Indoor/27_i_1_n_5.png",0,37,NA,0,0
"Livescan_500/Natural/Indoor/27_i_1_n_6.png",0,45,NA,0,0
"Livescan_500/Natural/Indoor/27_i_1_n_8.png",0,33,NA,0,0
"Livescan_500/Natural/Indoor/27_i_2_n_1.png",0,31,NA,0,0
"Livescan_500/Natural/Indoor/27_i_2_n_2.png",0,38,NA,0,0
"Livescan_500/Natural/Indoor/27_i_2_n_3.png",0,31,NA,0,0
"Livescan_500/Natural/Indoor/27_i_2_n_4.png",0,45,NA,0,0
"Livescan_500/Natural/Indoor/27_i_2_n_5.png",0,43,NA,0,0
"Livescan_500/Natural/Indoor/27_i_2_n_6.png",0,32,NA,0,0
"Livescan_500/Natural/Indoor/27_i_2_n_7.png",0,35,NA,0,0
"Livescan_500/Natural/Indoor/27_i_2_n_8.png",0,37,NA,0,0
"Livescan_500/Natural/Indoor/28_i_1_n_1.png",0,42,NA,0,0
"Livescan_500/Natural/Indoor/28_i_1_n_2.png",0,23,NA,0,0
"Livescan_500/Natural/Indoor/28_i_1_n_3.png",0,33,NA,0,0
"Livescan_500/Natural/Indoor/28_i_1_n_4.png",0,40,NA,0,0
"Livescan_500/Natural/Indoor/28_i_1_n_5.png",0,38,NA,0,0
"Livescan_500/Natural/Indoor/28_i_1_n_6.png",0,43,NA,0,0
"Livescan_500/Natural/Indoor/28_i_1_n_7.png",0,41,NA,0,0
"Livescan_500/Natural/Indoor/28_i_1_n_8.png",0,43,NA,0,0
"Livescan_500/Natural/Indoor/28_i_2_n_1.png",0,41,NA,0,0
"Livescan_500/Natural/Indoor/28_i_2_n_2.png",0,42,NA,0,0
"Livescan_500/Natural/Indoor/28_i_2_n_3.png",0,42,NA,0,0
"Livescan_500/Natural/Indoor/28_i_2_n_4.png",0,43,NA,0,0
"Livescan_500/Natural/Indoor/28_i_2_n_5.png",0,43,NA,0,0
"Livescan_500/Natural/Indoor/28_i_2_n_6.png",0,43,NA,0,0
"Livescan_500/Natural/Indoor/28_i_2_n_7.png",0,47,NA,0,0
"Livescan_500/Natural/Indoor/28_i_2_n_8.png",0,32,NA,0,0
"Livescan_500/Natural/Indoor/29_i_1_n_2.png",0,40,NA,0,0
"Livescan_500/Natural/Indoor/29_i_1_n_3.png",0,32,NA,0,0
"Livescan_500/Natural/Indoor/29_i_1_n_4.png",0,37,NA,0,0
"Livescan_500/Natural/Indoor/29_i_1_n_5.png",0,39,NA,0,0
"Livescan_500/Natural/Indoor/29_i_1_n_6.png",0,42,NA,0,0
"Livescan_500/Natural/Indoor/29_i_1_n_7.png",0,37,NA,0,0
"Livescan_500/Natural/Indoor/29_i_1_n_8.png",0,31,NA,0,0
"Livescan_500/Natural/Indoor/29_i_2_n_1.png",0,44,NA,0,0
"Livescan_500/Natural/Indoor/29_i_2_n_2.png",0,50,NA,0,0
"Livescan_500/Natural/Indoor/29_i_2_n_3.png",0,43,NA,0,0
"Livescan_500/Natural/Indoor/29_i_2_n_4.png",0,46,NA,0,0
"Livescan_500/Natural/Indoor/29_i_2_n_5.png",0,36,NA,0,0
"Livescan_500/Natural/Indoor/29_i_2_n_6.png",0,27,NA,0,0
"Livescan_500/Natural/Indoor/1_i_2_n_4.png",0,43,NA,0,0
"Livescan_500/Natural/Indoor/20_i_1_n_5.png",0,40,NA,0,0
"Livescan_500/Natural/Indoor/22_i_2_n_3.png",0,33,NA,0,0
"Livescan_500/Natural/Indoor/23_i_1_n_4.png",0,53,NA,0,0
"Livescan_500/Natural/Indoor/24_i_1_n_8.png",0,43,NA,0,0
"Livescan_500/Natural/Indoor/26_i_1_n_2.png",0,52,NA,0,0
"Livescan_500/Natural/Indoor/26_i_2_n_8.png",0,52,NA,0,0
"Livescan_500/Natural/Indoor/27_i_1_n_7.png",0,30,NA,0,0
"Livescan_500/Natural/Indoor/29_i_2_n_8.png",0,44,NA,0,0
"Livescan_500/Natural/Indoor/2_i_1_n_1.png",0,51,NA,0,0
